Season,Episode,Episode(overall),Title,Directed by,Written by,Original Air date,US viewers(millions)
6,7,74,Heads Up,David Boyd,Channing Powell,11/22/2015,13.22
6,8,75,Start to Finish,Michael E. Satrazemis,Matthew Negrete,11/29/2015,13.98
6,9,76,No Way Out,Greg Nicotero,Seth Hoffman,2/14/2016,13.74
6,10,77,The Next World,Kari Skogland,Angela Kang & Corey Reed,2/21/2016,13.48
6,11,78,Knots Untie,Michael E. Satrazemis,Matthew Negrete & Channing Powell,2/28/2016,12.79
6,12,79,Not Tomorrow Yet,Greg Nicotero,Seth Hoffman,3/6/2016,12.82
6,13,80,The Same Boat,Billy Gierhart,Angela Kang,3/13/2016,12.53
6,14,81,Twice as Far,Alrick Riley,Matthew Negrete,3/20/2016,12.69
6,15,82,East,Michael E. Satrazemis,Story by: Scott M. Gimple & Channing Powell & Teleplay by: Channing Powell,3/27/2016,12.38
6,16,83,Last Day on Earth,Greg Nicotero,Scott M. Gimple & Matthew Negrete,4/3/2016,14.19
7,1,84,The Day Will Come When You Won't Be,Greg Nicotero,Scott M. Gimple,10/23/2016,17.03
7,2,85,The Well,Greg Nicotero,Matthew Negrete,10/30/2016,12.46
7,3,86,The Cell,Alrick Riley,Angela Kang,11/6/2016,11.72
7,4,87,Service,David Boyd,Corey Reed,11/13/2016,11.4
7,5,88,Go Getters,Darnell Martin,Channing Powell,11/20/2016,11
7,6,89,Swear,Michael E. Satrazemis,David Leslie Johnson,11/27/2016,10.4
7,7,90,Sing Me a Song,Rosemary Rodriguez,Angela Kang & Corey Reed,12/4/2016,10.48
7,8,91,Hearts Still Beating,Michael E. Satrazemis,Matthew Negrete & Channing Powell,12/11/2016,10.58
7,9,92,Rock in the Road,Greg Nicotero,Angela Kang,2/12/2017,12
7,10,93,New Best Friends,Jeffrey F. January,Channing Powell,2/19/2017,11.08
7,11,94,Hostiles and Calamities,Kari Skogland,David Leslie Johnson,2/26/2017,10.42
7,12,95,Say Yes,Greg Nicotero,Matthew Negrete,3/5/2017,10.16
7,13,96,Bury Me Here,Alrick Riley,Scott M. Gimple,3/12/2017,10.68
7,14,97,The Other Side,Michael E. Satrazemis,Angela Kang,3/19/2017,10.32
7,15,98,Something They Need,Michael Slovis,Corey Reed,3/26/2017,10.54
7,16,99,The First Day of the Rest of Your Life,Greg Nicotero,Scott M. Gimple & Angela Kang & Matthew Negrete,4/2/2017,11.31
8,1,100,Mercy,Greg Nicotero,Scott M. Gimple,10/22/2017,11.44
8,2,101,The Damned,Rosemary Rodriguez,Matthew Negrete & Channing Powell,10/29/2017,8.92
8,3,102,Monsters,Greg Nicotero,Matthew Negrete & Channing Powell,11/5/2017,8.52
8,4,103,Some Guy,Dan Liu,David Leslie Johnson-McGoldrick,11/12/2017,8.69
8,5,104,The Big Scary U,Michael E. Satrazemis,Story by: Scott M. Gimple & David Leslie Johnson-McGoldrick & Angela Kang & Teleplay by: David Leslie Johnson-McGoldrick & Angela Kang,11/19/2017,7.85
8,6,105,The King the Widow and Rick,John Polson,Angela Kang & Corey Reed,11/26/2017,8.28
